P_Code,Longitud_E,Latitude_N,ACS_CODE,CAD_CODE,Governorate,Governorate_Arabic,District,District_Arabic,C_Ref_name,Village,Name of Health Facility,Short_Name,Name From MOPH List Arabic,"Focal Points at Health Facilities 

",Telephone,Fax,Mobile,E-mail,MOPH Network  (180)  March 2015,Added to the initial IfS list_March2015,MOPH Under probation_as of March2015 by MOPH, SUBSIDIZED SERVICES (3-5 consultation fees)  (YES)  / OR FULL PHC PRICE CHARGED TO REFUGEES ( NO) ,Funded by UNHCR 2015,Other Funding Agencies or  MOSA,Supported_By IP,Operational Status  (YES or NO),SOLAR FRIDGE NEED (PLEASE INSERT YES or NO ) Cold chain for vaccines,Other  Organization EN,Other  Organization Ar
51227_31_001,35.86871389,33.8011167,51227,51049,Bekaa,البقاع,Zahle,زحلة,Taanayel,Taanayel,Bekaa center in Taanayel -RHF clinic (Rafic Heriri PHC),Bekaa center in Taanayel -RHF clinic,,Dr. Walid Dally - Manager / Hoda Merhi - Social worker,08-513321,,03-777215,,No,Old_list_ifs,No,Yes,No,IMC,No,Yes,No,IMC,0
51365_31_001,35.9823903,33.8173097,51365,51061,Bekaa,البقاع,Zahle,زحلة,Terbol Zahle,Terbol,Terbol Governmental Health Center ,Terbol Governmental Health Center ,مركز تربل الصحي,Dr. George Assi,08-955688,08-955881,03-693456,terbol@hotmail.com,New180,Old_list_ifs,Probation,No,No,No,No,Yes,No,The Ministry of Public Health with the Municipality of Terbol, مراكز وزارة الصحة العامة بادارة بلدية تربل
51133_31_001,35.90272225,33.83644717,51133,51011,Bekaa,البقاع,Zahle,زحلة,Zahle Aradi,Haouch el Oumara Aradi,Caritas Lebanon Migrants Center -CLMC,Caritas Lebanon Migrants Center -CLMC,,Mireille Saliba,08-805123,,70-107905,,No,No,No,Yes,No,No,No,Yes,No,Caritas Lebanon Migrants Center,مؤسسة كاريتاس
51127_31_001,35.89169047,33.82108972,51127,51013,Bekaa,البقاع,Zahle,زحلة,Zahle Haouch El-Oumara Aradi,Saadneyel Mosque Building,El-Farouk Health Center / Saadneyel,El-Farouk Health Center / Saadneyel,مستوصف الفاروق الطبي/ سعدنايل,Dr. Radwan Chhimi,08-505322,,,fmcs1998@gmail.com,New180,Old_list_ifs,No,Yes,No,IMC,No,Yes,No,Dar El-Fatwa,دار الفتوى
72143_31_001,35.400009,33.111961,72143,72030,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Aain Ibl,Ain ebel,Ain ebel medico social center,Ain ebel medico social center,مركز العناية الطبي الاجتماعي - عين إبل,Soeur Nada Eid,07-470079,07-470109,03-069620,marieadiab@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by Tyre Maronite cathedral& municipality,مطرانية صور المارونية / بلدية عين ابل
72183_31_001,35.334514,33.097567,72183,72028,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Aayta Ech-Chaab,Ayta alchaab,Ayta alchaab SDC  center,Ayta alchaab SDC  center,الخدمات الانمائية - عيتا الشعب,Dr.Siham Droubi,07-465356,07-465299,03-371124,sdroubi1@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by MOSA, وزارة الشؤون الاجتماعية
72227_31_001,35.444126,33.176353,72227,72011,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Baraachit,Baraachit,Nour medical center /baraachit,Nour medical center /baraachit,مركز النور الطبي - برعشيت,Ali Aachour,07-370989,,,beauty-narjes@live.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by nour association for patient  & handicaps care,جمعية النور لرعاية المرضى و المعاقين / البلدية
72111_31_001,35.43415099,33.11672122,72111,72036,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Bent Jbayl,Bent Jubail,Bent Jbeil PHCC,Bent Jbeil PHCC,مركز الخدمات الإنمائية- بنت جبيل,Nada Bazzi,07-450571,,03-277167,fatima-abbas40@hotmail.com,New180,Old IFS,No,Yes,Yes,No,IMC,No,No,MOSA / IMC, وزارة الشؤون الاجتماعية
72264_31_001,35.417978,33.26055,72264,72003,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Borj qalaouiye,Borj Alaway,"Islamic health society, Borj Alaway","Islamic health society, Borj Alaway",,Mohammad Ayoub,07-385455,,,,No,No,No,Yes,No,No,IMC,No,Yes,IMC,
72229_31_001,35.46536097,33.19334106,72229,72050ND,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Chaqra,Chakra,Imam alsadr center /Chkra,Imam alsadr center /Chkra,مركز الامام الصدر شقرا,Ali abdel Hssein,07-370277,,03-122328,m7amad.7aydar@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by islamic scouts,كشافة الرسالة الاسلامية
72234_31_001,35.42515107,33.22903101,72234,72006,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Khirbet Selm,Khorbet selem,Sayed Abdel mohsen fadlallah health center,Sayed Abdel mohsen fadlallah health center,مركز السيد عبد المحسن فضل الله - خربة سلم,Hassan Dakdouk,07-405149,07-349620,,nadar123@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by HIS,الهيئة الصحية الاسلامية
72211_31_001,35.40827108,33.19317108,72211,72001,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Tibnine,Tebnin,Tebnin PHC center,Tebnin PHC center,مركز الرعااية الصحية الاولية (مستشفى تبنين),Dr.Mohamad Hamade,07-325528 / 07-326399,07-325531,03-627857,tebnin.hospital@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,MOPH/semi private administration the center is within Tebnin government hospital,وزارة الصحة العامة
72159_31_001,35.420451,33.07890129,72159,72033,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Yaroun,Yaroun,Yaroun medico-social center,Yaroun medico-social center,مستوصف يارون (بنت جبيل),soeur Aida elhindi,07-451540,07-450435,70-174344,sraidahindy1@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by ordre souverrains  de malte,الجمعية اللبنانية لفرسان مالطا
72277_31_001,35.33007121,33.15636118,72277,72016,El Nabatieh,النبطية,Bent Jbeil,بنت جبيل,Yater,Yater,Abbas health center,Abbas health center,مركز العباس الصحي/ ياطر,Dr.Abdel majid Farhat,07-425187,,03-239072,markazabbass.yatar@gmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by almabarrat charity association,جمعية المبرات الخيرية
71361_31_001,35.35290128,33.37863075,71361,71073,El Nabatieh,النبطية,El Nabatieh,النبطية,Ansar,Insar,Ansar Municipality clinic,Ansar Municipality clinic, مركز انصار الصحي البلدي,Dr. Nazir chaaban,07-501447,,03-726909,ansar_mc@yahoo.com,New180,Old_list_ifs,No,Yes,No,No,BPRM - IMC,No,Yes,IMC, بلديات
71311_31_001,35.45958,33.42991,71311,71097,El Nabatieh,النبطية,El Nabatieh,النبطية,Deir Ez-Zahrani,Deir azzahrani,Deir azzahrani health center,Deir azzahrani health center,مركز دير الزهراني الصحي,cheikh Aouni aoun,07-532319,,03-024533,sh_awne@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Deir azzahrani charity association & municipality,الجمعية الخيرية دير الزهراني / البلدية
71266_31_001,35.43419117,33.47551054,71266,71064,El Nabatieh,النبطية,El Nabatieh,النبطية,Houmine Et-Tahta,houmin altahta,Imam alsadr center/houmin altahta,Imam alsadr center/houmin altahta,مستوصف الامام الصدر/حومين التحتا,Ali abbas,07-525636,07-525626,03-631698,aliabass69@gmail.com,No,Old_list_ifs,No,No,No,No,No,No,No,Directed by islamic scouts,كشافة الرسالة الاسلامية
71211_31_001,35.51765102,33.48496049,71211,71110,El Nabatieh,النبطية,El Nabatieh,النبطية,Jbaa En-Nabatiyeh,jbaa,Jbaa governmental center,Jbaa governmental center,مركز جباع الصحي الحكومي,Ali karaki,07-210361,,70-838244,ihs_south2@hayaa.org,New180,Old IFS,No,No,No,No,No,No,No,MOPH-Municipality &HIS, مراكز وزارة الصحة العامة بادارة بلديات و الهيئة الصحية الاسلامية
71111_31_001,35.4781925,33.37507476,71111,71104,El Nabatieh,النبطية,El Nabatieh,النبطية,Nabatieh Et-Tahta,kafar romman,Kafar romman health center,Kafar romman health center,مركز كفررمان الصحي - النبطية,ghadir ghibriss,07-761775,07-761905,70-838168,kf-healthcentr@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Elrisala sport club& municipality,نادي الرسالة الرياضي / البلدية
71111_31_002,35.48455279,33.37696389,71111,71104,El Nabatieh,النبطية,El Nabatieh,النبطية,Nabatieh Et-Tahta,Nabatiye el Tahta,MOSA SDC - Nabatieh ,MOSA SDC - Nabatieh ,,,07-761997,,,,No,No,No,No,No,No,No,No,No,MOSA, وزارة الشؤون الاجتماعية
71111_31_003,35.48455279,33.37696389,71111,71104,El Nabatieh,النبطية,El Nabatieh,النبطية,Nabatieh Et-Tahta,El Nabatieh,Al Kayan-Nabatieh,Al Kayan-Nabatieh,,Bisan  Bitar                                 ,,,03-101478,,No,No,No,Yes,No,No,IOM,No,Yes,IOM,
71111_31_004,35.48318,33.38724,71111,71104,El Nabatieh,النبطية,El Nabatieh,النبطية,Nabatieh Et-Tahta,Nabatieh,Nabatieh PHC center,Nabatieh PHC center,مركز الرعاية الصحية الاولية - النبطية,Dr.bachar chmeisani,07-760014,,03-616951,ihs_nabatieh@hayaa.org / drbachar@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Directed by lebanese society for social &medical care, مراكز وزارة الصحة العامة / الحمعية اللبنانية للرعاية الصحية الاجتماعية
71113_31_001,35.49064167,33.36394439,71113,71103,El Nabatieh,النبطية,El Nabatieh,النبطية,Nabatiyeh El-Faouka,Nabatiye el Faouqa,"IHS (Islamic Health Care Society) Clinic,
Primary Healthcare",IHS -Islamic Health Care Society PHC,,"Youssef Hamoudi / Dr Mohamad Korkomaz
",07-764529,,,,No,No,No,Yes,No,No,IMC,No,Yes,IMC,
71327_31_001,35.39943121,33.42520064,71327,71069,El Nabatieh,النبطية,El Nabatieh,النبطية,Nmairiye,Nmeirieh,Nmeirieh charity center,Nmeirieh charity center,المركز الصحي الاجتماعي النميرية,yousuf hammoudi,07-505849,07-505849,70-986152,bureaufarhat@hotmail.com / nadar123@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Directed by Islamic health society & municipality,الهيئة الصحية الاسلامية / البلدية
71381_31_001,35.42370112,33.32794082,71381,71087,El Nabatieh,النبطية,El Nabatieh,النبطية,Qaaqaaiyet Ej-Jisr,Kaakaiet aljisr,kaakaiet aljisr government center,kaakaiet aljisr government center,قعقعية الجسر الصحي الحكومي,Dr.Mahmoud yehia,07-542481,07-540322,03-625554,dr.mahmoudyehya@hotmail.com,New180,Old_list_ifs,Probation,No,No,No,No,No,No,Directed by Municipality /MOPH, مراكز وزارة الصحة العامة بادارة بلديات
71394_31_001,35.51381201,33.3141116,71394,71109,El Nabatieh,النبطية,El Nabatieh,النبطية,Yohmor En-Nabatiyeh,Yohmor-chakif,Alinmaa association center/yohmor,Alinmaa association center/yohmor,مركز جمعية الإنماء - يحمر,Fouad kara ali,07-571446,07-571573,,abbaskasem1@gmail.com,New180,Old_list_ifs,Probation,No,No,No,No,No,No,Directed by Alinmaa association ,جمعية الانماء
74116_31_001,35.6680253,33.3719193,74116,74008ND,El Nabatieh,النبطية,Hasbaya,حاصبيا,Fardis Hasbaiya,Fardis,Amel Primary Health care center Fardis,Amel Primary Health care center Fardis,,Dr Mohamed Sleiman,,,70-249248,,No,No,No,No,No,No,No,No,No,AMEL,
74111_31_001,35.6737335,33.41037124,74111,74001,El Nabatieh,النبطية,Hasbaya,حاصبيا,Hasbaiya,Hasbaiya,MOSA SDC - Hasbaya,MOSA SDC - Hasbaya,مركز الرعاية الصحية الاولية حاصبيا,Dr.Nada hamad,07-550215 / 07-551191,,03-352949,reaya.hasbaya@yahoo.com,New180,Old IFS,No,No,No,No,No,No,No,MOSA, مراكز وزارة الصحة العامة بادارة بلديات
74160_31_001,35.6687479,33.3086115,74160,73010,El Nabatieh,النبطية,Hasbaya,حاصبيا,Kfar Chouba,Halta,Amel Primary Health care center Halta,Amel Primary Health care center Halta,,Dr Mohamed Sleiman,,,70-249248,,No,No,No,No,No,No,No,No,No,AMEL,
74120_31_001,35.678616,33.344296,74120,74010ND,El Nabatieh,النبطية,Hasbaya,حاصبيا,Kfar Hamam,kafar hamam,Kafar hamam governmental center,Kafar hamam governmental center,مستوصف كفرحمام الحكومي,Fadia Nasser,07-560116,,,kfarhamamphc@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by MOH-Makassed association,وزارة الصحة العامة / جمعية المقاصد
73230_31_001,35.50620094,33.29022086,73230,73024ND,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Deir Siriane,Deirsyrian /Taybeh,Deirsyrian social & health center,Deirsyrian social & health center,المركز الصحي الاجتماعي دير سريان - الطيبة,Manal yehya,07-850900,07-343312,,dayrsyrian@imamsadrfoundation.org.lb,New180,Old IFS,No,No,No,No,No,No,No,Directed by Imam Sadr foundation,جمعية مؤسسات الامام الصدر
73234_31_001,35.52025,33.21035,73234,73026ND,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Houla,Houla,Rajeh Taher institution charity center,Rajeh Taher institution charity center,مركز مؤسسة الدكتور راجح طاهر الخيرية,Dr.Nader Taher,07-860220,,03-669178,nader.m.taher@gmail.com / rt.found@gmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by municipality & Taher institution ,مركز مؤسسة الدكتور راجح طاهر الخيرية / بلدية حولا
73228_31_001,35.55209085,33.27590087,73228,73007,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Kfar Kila,Kfar kila,Azzahraa charity center,Azzahraa charity center,مستوصف الزهراء كفركلا,Mohamad jomaa,07-855377,,03-234775,azzahramedicalcenter@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,charity association for the poor ,الجمعية الخيرية لانعاش الفقير
73159_31_001,35.60039078,33.32027077,73159,73004,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Khiyam Marjaayoun,Khyam,Khyam healthn center,Khyam healthn center,الخيام الصحي الحكومي,Dr.Mohamad Kourkoumaz,07-840536,,03-720265,ihs_south2@hayaa.org,New180,Old IFS,No,No,No,No,No,No,No,MOPH-Municipality &HIS, مراكز وزارة الصحة العامة بادارة بلديات و الهيئة الصحية الاسلامية
73159_31_002,35.61139076,33.32627076,73159,73004,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Khiyam Marjaayoun,Khiam,Amel Health Center Khiam,Amel Health Center Khiam,مؤسسة عامل الخيام,Dr.Mohamad Sleiman,07-840052,07-840052,03-840717,info@amel.org.lb / safsaf.k-2008@hotmail.com,New180,Old IFS,No,Yes,Yes,No,AMEL,No,No,AMEL,مؤسسة عامل
73111_31_001,35.57345,33.33988,73111,73001,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Marjaayoun,Kleiaa,alkayan medical center /kleiaa,alkayan medical center /kleiaa,مركز الكيان الطبي - القليعة,Ricardos bou rahal,07-836363,,03-326422,riky_abrahal@hotmail.com,No,Old_list_ifs,No,No,No,No,No,No,No,IOM,جمعية تجمع لبنان الواحد الكيان
73111_31_002,35.59043415,33.36021737,73111,73001,El Nabatieh,النبطية,Marjaayoun,مرجعيون,Marjaayoun,Marjoun,Nour association health center,Nour association health center,مركز جمعية نور - جديدة مرجعيون,Marlene Assad Hardan,07-831330,,03-368597,imane_chitt@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,Directed by nour association,جمعية نور للرعاية الصحية و الاجتماعية / بلدية جديدة مرجعيون
24259_31_001,35.54203531,33.78777941,24259,24007,Mount Lebanon,جبل لبنان,Aley,عاليه,Aain Aanoub,Aain Aanoub,MOSA Aain Aanoub,MOSA Aain Aanoub,,,,,,,No,No,No,No,No,No,No,No,No,MOSA, وزارة الشؤون الاجتماعية
24311_31_001,35.60893,33.80171,24311,24004,Mount Lebanon,جبل لبنان,Aley,عاليه,Aaley,Aaley,Development Services Center - Aley,Development Services Center - Aley,مركز الخدمات الانمائية - عاليه,Nisrine Abdel Samad,05-554074,,78-865021,,New180,New IFS,No,No,No,No,No,No,No,MOSA, وزارة الشؤون الاجتماعية
24211_31_001,35.51885115,33.76040996,24211,24029,Mount Lebanon,جبل لبنان,Aley,عاليه,Aaramoun Aaley,Aramoun,Rafik Hariri Foundation ,Rafik Hariri Foundation ,مديرية الصحة - عرمون - مؤسسة رفيق الحريري,Mr Milad Aael,05-802548,05-855596,,mjaroudi@haririmed.org  ,New180,Old_list_ifs,No,Yes,Yes,No,IMC,Yes,No,IOCC/ACT ALLIANCE, مؤسسات اهلية
24343_31_001,35.562587,33.77128,24343,24070,Mount Lebanon,جبل لبنان,Aley,عاليه,Bayssour Aaley,Bayssour Aaley,MOSA PHC - Bayssour,MOSA PHC - Bayssour,,Ms Jinane abed Elsamad ,05-571074,03-768280,05-571074,janosamad@hotmail.com ,No,No,No,Yes,No,MOSA,IMC,Yes,No,,
24111_31_001,35.519915,33.809819,24111,24001,Mount Lebanon,جبل لبنان,Aley,عاليه,Choueifat El-Aamrousiye,El-Amrousieh,HIS- El Imam Zein El-Abiddine Center,El Imam Zein El-Abiddine Center,الامام زين العابدين - العمروسية,Dr. kamal Hussein,05-431386,,03-861642,moustaphamerhe@yahoo.com / nadar123@hotmail.com,No,No,No,Yes,No,IMC,No,Yes,No,IMC/The Islamic Health Society, الهيئة الصحية الاسلامية
24111_31_003,35.50708293,33.82278948,24111,24001,Mount Lebanon,جبل لبنان,Aley,عاليه,Choueifat El-Aamrousiye,Hay es Sellom,Maternal healthcare,Maternal healthcare,,Hadje Sukna / Dr Malak Wehbe,05-483100,,70-206034,,No,No,No,Yes,No,Amel,No,No,No,AMEL/MdM,
24155_31_001,35.51508118,33.80582988,24155,24003,Mount Lebanon,جبل لبنان,Aley,عاليه,Choueifat El-Oumara,Es Shwayfate,Medical and Social Center- Choueifat,Medical and Social Center- Choueifat,مركز الشويفات الصحي الاجتماعي,Mr. Waseem Abu Faraj,05-431551,05-430770,03-084122,wassimabifaraj@hotmail.ocm,New180,Old IFS,No,Yes,No,PU-AMI,No,Yes,No,The Ministry of Public Health/ Majid Arslan Foundation / Chweifat Municipality / PU-AMI, مراكز وزارة الصحة العامة / بلدية الشويفات / مؤسسة الامير مجيد ارسلان
24349_31_001,35.57500104,33.75899995,24349,24057,Mount Lebanon,جبل لبنان,Aley,عاليه,Mejdlaiya,Mejdlaya,Mejdlaya Governmental Health Center,Mejdlaya Governmental Health Center,مجدليا الصحي الحكومي,Dr. randa El-Aridi,05-571720,05-271319,03-917130 / 03-639994,randaridi3@yahoo.com,New180,Old_list_ifs,Probation,No,No,No,No,No,No,The Ministry of Public Health with the Municipality of Mejdalya, مراكز وزارة الصحة العامة بادارة بلدية مجدليا
24427_31_001,35.702342,33.802206,24427,24022,Mount Lebanon,جبل لبنان,Aley,عاليه,Saoufar,Sofar,Rafik Hariri Foundation ,Rafik Hariri Foundation ,,Rania Zaatari  ,05-290495,,03-944170,raniazaatari@hotmail.com,No,No,No,No,No,No,No,No,No,PU-AMI,
21211_31_001,35.5366588,33.82939231,21211,21001,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Baabda,Chiah Adb El-karim Street,The lebanese Red cross Health Center / Chiah,The lebanese Red cross Health Center / Chiah,الصليب الاحمر اللبناني/الشياح,Mrs. Mariam Alaa Eddine,01-558803,,,redcrossshiah@yahoo.com  imanhamdan@live.com,New180,Old IFS,No,No,No,No,No,No,No,The lebanese Red Cross Association,جمعية الصليب الاحمر اللبناني
21211_31_002,35.54145114,33.83049982,21211,21001,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Baabda,Beer El-Abd,Dar El hawraa Center / Beer El- Abd,Dar El hawraa Center / Beer El- Abd,دار الحوراء بئر العبد,Dr. Adnan El-Husseini,01-544889,01-543304,03-789794,haya@hayaa.org  nadar123@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,The Islamic Health Society,جمعية الهيئة الصحية الاسلامية
21211_31_003,35.544119,33.834419,21211,21001,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Baabda,Baabda,Dispensary Yadouna Association,Dispensary Yadouna Association,مستوصف جمعية يدنا,Fadi Karam / Zeina Jamal /  Ghada Akiki,05-923209,,03-644453 / 03-423425,ghada.akiki@yadona.org,No,No,No,No,No,No,No,No,No,Yadona Association,جمعية يدنا
21177_31_001,35.50850121,33.83794982,21177,21004,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Bourj El-Brajneh,Borj El-Barajneh,Al Najde Al Shaabeyye,Al Najde Al Shaabeyye,مركز برج البراجنة الطبي- النجدة الشعبية,Mr. Mahomoud Kazan,01-450173,,03-720574 / 70-044126,secours_pl@live.com,New180,Old_list_ifs,Probation,No,No,No,No,No,No,Secours Populaire libanais / IMC,النجدة الشعبية
21177_31_002,35.510426,33.837978,21177,21004,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Bourj El-Brajneh,Mraije,Al Maamoura Medical Center,Al Maamoura Medical Center,,Mohammad Harriri ,01-473338,,70-875701,planetlab@yahoo.com,No,No,No,No,No,No,No,No,No,PU-AMI,
21177_31_003,35.50326,33.84323,21177,21004,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Bourj El-Brajneh,Borj El Barajne ,Borj el Barajne Municipality PHC,Borj el Barajne Municipality PHC,مركز بلدية برج البراجنة,Mr. Abd El-Hadi El-Arab,01-472933,01-472935,71-542190,phccborjbarajneh-municipality@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Borj El-Barajneh Municipality /  IOCC/ACT ALLIANCE,بلدية برج البراجنة
21177_31_004,35.50326,33.84323,21177,21004,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Bourj El-Brajneh,Borj El Barajne ,Burj Barajneh PHCC,Burj Barajneh PHCC,,Rawya Mohana- / Dr Malak Wehbe ,,,71-794730 / 70-106035,,No,No,No,Yes,No,Amel,No,Yes,No,Amel,
21177_31_005,35.50222363,33.84166545,21177,21004,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Bourj El-Brajneh,Borj El Barajne ,MOSA Borj El Barajne ,MOSA Borj El Barajne ,,,,,,,No,No,No,Yes(mental health services),No,IMC,No,Yes,No,MOSA, وزارة الشؤون الاجتماعية
21111_31_002,35.49888965,33.86040397,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Chatila,MSF Clinic,MSF Clinic,,Dr Elena Nicco/ Dea Abi Hanna,76/526938,, 71- 932520/03-697884,msfocb-shatila-med@brussels.msf.org,No,No,No,Yes,No,MSF private found,No,Yes,No,MSF-OCB,
21111_31_003,35.52517,33.86106,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Ein EL-Romaneh,Socio-Medical Center /Ein EL-Romaneh,Socio-Medical Center /Ein EL-Romaneh,الطبي الإجتماعي - عين الرمانة,Mr. Joe Boustani,01-559986,01-559984,03-643543,joeb@arcenciel.org  ugmoua@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Sovereign Military Order of Malta,منظمة فرسان مالطا
21111_31_004,35.51024,33.861126,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Ghbeiri Asaad El-Asaad Street,Ghbeiri Municipality Center,Ghbeiri Municipality Center,مركز بلدية الغبيري,Mr. Mohamad Haidar,01-270034,01-858478,03-580274,ghobeiry_phcc@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Municipality of Ghbeiri,بلدية الغبيري / الهيئة الصحية الاسلامية
21111_31_005,35.518419,33.863369,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Chiayah,Lebanese Association for Early Childhood Development ,Leb. Association for Early Childhood Develop,"مركز الأسرة للرعاية والإرشاد، الطيونة، ",Dr Ali Zein ,01-395393,,03-816869,,No,No,No,Yes,No,No,IMC,Yes,No,,
21111_31_006,35.518419,33.863369,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Chiyah,Municipality Shiyyah center for primary health care,Municipality Shiyyah PHC center ,مركز بلدية الشياح للرعاية الصحية الأولية,Edmon Gharious,01-276276  01-544999,,,,No,No,No,No,No,No,No,No,No,Municipality of chiyah,بلدية الشياح
21111_31_007,35.48671126,33.86724977,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Sabra Hay Farhat,Bint El-Hoda Sabra Center,Bint El-Hoda Sabra Center,الجمعية اللبنانية للرعاية الصحية الاجتماعية - بنت الهدى - صبرا,Dr. fadi Alawieh,01-838284,,03-655598,ali.yazbeck@hotmail.com,New180,Old_list_ifs,Probation,No,No,No,No,No,No,The Lebanese Association for Health and Social Care,الجمعية اللبنانية للرعاية الصحية الاجتماعية
21111_31_008,35.51541969,33.86575845,21111,21007,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Chiyah,Chiyah,Mosa chiyah Phc,Mosa chiyah Phc,,,,,,,No,No,No,No,No,No,No,No,No,MOSA, وزارة الشؤون الاجتماعية
21219_31_001,35.530128,33.838839,21219,21002,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Hadath Beyrouth,Hadath - Lebanese University,Lebanese University Health Center / Hadath,Lebanese University Health Center / Hadath,الصحة العامة الجامعة اللبنانية - الحدث,Dr. Fatina Sleiman,05-463591 ext:4633,,03-602525,fsleiman@ul.edu.lb,New180,Old IFS,No,No,No,No,No,No,No,The Lebanese University - Faculty of Public Health,الجامعة اللبنانية
21411_31_001,35.73215078,33.82431977,21411,21052,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Hammana,Hamana - Hay El-Mjar,Hamana Health Center,Hamana Health Center,مركز حمانا الصحي,Mr. Elias Maher,05-530960,,03-875504,elias_maher@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Oxilia Association,جمعية اوكسيليا
21144_31_001,35.50537122,33.8481298,21144,21006,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Haret Hreik,Haret Hraik,Haret Hreik PHCC,Haret Hreik PHCC,مؤسسة  عامل بعجور,Mrs. Rawya Mhanna / Waffa el Attas / Dr Malak Wehbe,01-273426,01-305646,03-978942 / 76-726634 / 70-106034,amelassociation-baajour@outlook.com,New180,Old_list_ifs,Probation,Yes,No,Amel,No,Yes,No,Amel,مؤسسة عامل
21144_31_002,35.50854442,33.8507595,21144,21006,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Haret Hreik,Haret Hraik,Haret Hreik PHCC,Haret Hreik PHCC,مركز الرعاية الصحية الاولية حارة حريك,Dr. Fadi Aoun,01-276181,01-276175,03-376107,phcc.hara@gmail.com,New180,Old IFS,No,No,No,No,No,No,No,Municipality of Haret Hreik / IMC,بلدية حارة حريك
21144_31_003,35.508797,33.8529,21144,21006,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Haret Hreik,Haret Hraik,Alkayan Medical Center,Alkayan Medical Center,,Dr. Abbass El-masri,01-454006,01-454007,03-701738,nermeen_45@hotmail.com,New180,Old IFS,No,No,No,No,No,No,Yes,Tajamoh Lobnan El-Wahed - El Kayan Association,جمعية تجمع لبنان الواحد الكيان
21166_31_001,35.51400119,33.83199983,21166,21005,Mount Lebanon,جبل لبنان,Baabda,بعبدا,Laylake,Mriejeh,The Boundless Giving Health Center / Mriejeh,The Boundless Giving Health Center / Mriejeh,مركز عطاء بلا حدود - المريجة - بعبدا,Dr Mona Alaa Srour,01-470661,01-470660,03-313569,berthe_saliba@hotmail.com,New180,Old_list_ifs,No,Yes,Yes,No,IMC,Yes,No,The Boundless Giving Association and Laylaki Municipality,جمعية عطاء بلا حدود و الجمعية الخيرية لانعاش الفقير و بلدية الليلكي
