Description,Quantity
Roxonin Tape 50 mg*,2
Saforelle Savon Liquide 100 Ml      ,1
Saforelle Savon Liquide 250 Ml                                                                                          ,1
Scopinal 10 Mg * 20 Tab                                                                                                 ,15
Secnol 2g 1sachet                                                                                                       ,1
Sediproct 6 supp,1
Sediproct Cream,3
Sefarin  100ml,2
Seroquel Xr 300 Mg Tab                                                                                                  ,1
Seroxat 20 Mg 30 Tab                                                                                                    ,5
Serum Mixte 0.45% 1 Litre      ,1
Serum Mixte 0.9% 1 Litre                                                                                                ,1
Serum- Sodium Chloride 1L Solution,5
Serum Sodium Chloride 250Ml,3
Serum Sodium Chloride 500Ml,3
Sideral Fort 20 cap,4
Silastic Adult Couche XL ,1
Silastic Culotte Large  12,1
Silastic Underpad 60*90 15 pcs,3
Sildenafil Arrow 100 mg,2
Simedill AntiFlautant  120 ml,1
Simvastatin Normon 40Mg*28Tab,1
Simvastatine Normon 20mg *28 tab,1
Sinecod Sirop 200 Ml                                                                                                    ,1
Sinlip 10mg Tab *30                                                                                                     ,1
Sinlip 5mg Tab*30                                                                                                       ,1
Sinomarin Spray Children*100Ml,1
Sintrom 4 Mg 20 Tab                                                                                                     ,3
Siofor 500mg 30tab                                                                                                      ,1
Skinoren Creme,1
Sodium Bicarbonate 100 G                                                                                                ,1
Sodium Chloride Serum 100 Ml,1
Soflax Solution 200ml                                                                                                   ,1
Sohat Eau Mineral box,1
Solpadeine 24 Tab                                                                                                       ,18
Solute Physiologique Gtte 30ml- Jana,1
Solute Physiologique Spray 30ml - Jana,1
Soothex Natural Cough Sirop 100 Ml                                                                                      ,2
Spasmo Digestin30 Tab                                                                                                   ,1
Spasmomen 30 Cp 40 Mg                                                                                                   ,1
Spidogale 120 ml (meph)                                                                                                  ,2
Spiragyl 20 tabs                                                                                                          ,5
Stavine 20 Mg 30 Tab                                                                                                    ,1
Sterifine 5 Mg * 3  Tab                                                                                                 ,3
Strepsils Sugar Free Lozenges                                                                                           ,5
Sucrate 5ml Gel * 30 Monodose                                                                                           ,1
Suddokream 50 G,1
Suldex 125 mg 10 supp,1
Surgam 300 Mg 20 Tab                                                                                                    ,7
Sussli 1200 Tab                                                                                                         ,2
Symbicort 160/4.5  *60 Doses                                                                                            ,1
Symbicort 160/4.5 *120 Doses                                                                                            ,2
Symbicort 320/9 * 60 Doses                                                                                              ,1
Syringe 3ml,14
Syringe 5ml,26
Tabunex Nasal Spray 120 Doses                                                                                           ,3
Take 5 3Fingers,24
Talys 20 Mg * 4 Tab                                                                                                     ,1
tamsu genericon  0.4mg 30caps,2
Tarden 10 Mg 30 Tab                                                                                                     ,1
Tarden 20 Mg 30 Tab                                                                                                     ,2
Tarden 40 Mg 30 Tab                                                                                                     ,2
Tears Naturel Gtt 15 Ml                                                                                                 ,2
Telfast 120 Mg 15 Tab                                                                                                   ,2
Telmicard 40 Mg 30 Tab                                                                                                  ,2
Telmicard 80 Mg *30 Tab                                                                                                 ,3
Telmicard 80 Plus * 30 Tab                                                                                              ,3
Ten Herbs Forte*100 Tab,1
Terafan Spray 15ml,1
Tetagam P Amp 250 I.u &&&&&                                                                                             ,2
Tetracycline 1% 3.5 G Eye Oint                                                                                          ,8
Tetracycline 3% 15 G Skin Oint                                                                                          ,3
Tetracycline Sachet 250 Mg Sachet                                                                                       ,7
Theosol Sirop 240 Ml                                                                                                    ,2
Thiotacid 600 Mg*30 Tab,1
Thyrosol 10 mg,2
Thyrosol 5 mg*30 tab,2
Tobracol 3M 5ml Drops,1
Tobracort 3M 5ml Drops,1
Tolexine 100mg 28tab                                                                                                    ,1
Tot' Hema 20 Amp Buv                                                                                                    ,2
Tramal 50 Mg 30 Cap                                                                                                     ,2
Tramal Rapide 30tab                                                                                                     ,1
Tramal Retard 100 Mg 10 Tab                                                                                             ,2
Transilax 15 Sachet,2
Travocort Creme 20 G                                                                                                    ,1
Tresiba 100UI 5*3ML,1
Tretinion 0.05 Gel. Sol.                                                                                                ,1
Trileptal 150 Mg * 50 Tab                                                                                               ,1
Triltec 10 Mg 30 Tab                                                                                                    ,2
Triltec 5 Mg 30 Tab                                                                                                     ,2
Tryptizol 10 Mg 100 Tab                                                                                                 ,3
Tuscalman A Enfant10 Supp                                                                                                ,1
Tuscalman B Enf 10 Supp                                                                                                 ,3
Tusserbe Sed Sirop,2
Tylenol Supp 350 *10                                                                                                    ,2
Ultrabiotique infantile,1
Urgo Spray ,1
Urine Bag 2000ml,1
Urine sample ,12
Urinex 24 Capsule                                                                                                       ,1
Urisol 5 Mg,1
Utabon Nasal Spray Solution 0.5 mg/ml*,4
Vaseline Jelly Pure *50 Ml,2
Vaseline Pot 100ml  Original                                                                                            ,1
Vaseline Pot 250ML Original,1
Vasoserc 16 Mg * 60 Tab                                                                                                 ,1
Vastarel 35 Mg 60 Tab                                                                                                   ,1
Venlax X R 37.5 Mg *20 Tab                                                                                              ,1
Ventolin Spray 200 Ml                                                                                                   ,10
Vessel Due F 250lsu *50 Tab                                                                                             ,1
Vicks Inhaler                                                                                                           ,3
Vimpat 50Mg*14Tab,1
Viscoflu Sachets 10 sachets,1
Vitamin E 400 Webber                                                                                                    ,1
Vivida 5 mg* 30 tab*,2
Vocado 40/5/12.5 Mg*28 Tab,1
Voltaren 12.5 Mg 10 Supp                                                                                                ,4
Voltaren Gel 50 gr (mersaco)                                                                                                  ,2
Voltfast 50mg * 9 sachet,12
Wella Welloxon Oxygen 9% 60ml           ,1
Winex 400 Tab *6                                                                                                        ,4
Winex Os 100mg /5ml 60ml Sirop                                                                                          ,1
Xailin HA Collyre,2
Xatral Xl/lp 10 Mg Cp                                                                                                   ,5
Xaviran (xarelto) 20mg 30tab,1
Xemaderm 0.1% creme,1
Xylo Comod Nasal Spary                                                                                                  ,1
Xylocaine Spray 10% 50ml                                                                                                ,1
Xyzal 5 Mg 30 Tab                                                                                                       ,2
Zaldiar 20tab                                                                                                           ,2
Zero Sugar Free Candy,4
Zevlen 250 Mg 6 Tab                                                                                                     ,1
Zinasen 10 Mg 20 Tab                                                                                                    ,1
Zinnat 500 Mg 10 Tab                                                                                                    ,1
Ziorel 150mg * 30 Tab                                                                                                   ,2
Ziorel 300mg * 30 Tab                                                                                                   ,1
Ziorel Plus 150/12.5 * 30 Tab                                                                                           ,4
Zolmitriptan Biogaran 2.5 mg* 6 cap*,1
zomax 300mg/7.5ML 22.5ML,1
Zori Vitamin C *3 Lollipops,1
Zovirax Creme 2 G                                                                                                       ,1
ZPro*15 Tab,1
Zyloric 100 Mg 50 Tab                                                                                                   ,3
Zyrtec Sirop 75 Ml                                                                                                     ,3
Zyrwan OD 10 Mg 14 Tab,1
